CONDACT,DESOCUP,DESOCUP,INACTIVO,INACTIVO,INACTIVO,INACTIVO,INACTIVO,INACTIVO,OCUPADO,OCUPADO,OCUPADO,OCUPADO
CAT_OCUP,Cta Propia,Obrero,,,,,,,Cta Propia,Obrero,,Patron
CAT_INAC,,,,Jubilado,Estudiante,Ama de casa,Otros,Rentista,,,,
area_0,,,,,,,,,,,,
Resto 1a Seccion,,,,18.313318777292576,6.031659388646288,8.760917030567686,,,4.721615720524017,58.76091703056768,,
Resto 2a Seccion,,2.562724755094449,,17.633199685859545,5.299053445211425,8.552060513371636,0.9382879345265159,,5.704129293597322,58.42185756210474,,
Resto 3a Seccion,,2.883280241770808,,19.382504288164665,5.349995916033652,8.00457404230989,,,5.309156252552479,57.273544065996894,,
Resto 4a Seccion,,2.35454472565946,,21.468851057006173,5.080578346740786,7.237352005772777,0.7857391025469707,,6.371435443782238,55.8890343961301,,
Resto 5a Seccion,,2.7434698060650655,,19.356703631681295,6.304199295737636,7.350081463183897,0.9854417406842907,,5.886371997687497,56.45661428496347,,
Resto 6a Seccion,,2.657045554169336,,20.254914522709647,5.7861550392824626,6.480763394814041,0.708095896415686,,6.086252823953872,57.15008261118791,,
Resto 7a Seccion,,2.093606713383511,,22.328921186953888,5.069642702655939,7.2757158923782335,,,7.751535599965395,54.17423652565101,,
almirante brown,,4.443692168810652,,15.073346874294742,5.863236289776574,7.871812232001806,0.6477093206951027,,4.039720153464229,61.02234258632363,0.33175355450236965,0.2708192281651997
avellaneda,,3.881263326226013,,18.893256929637527,5.217217484008529,6.616471215351813,0.6396588486140725,,5.523720682302772,58.22228144989339,0.33648720682302774,
azul,,2.953138815207781,,19.73474801061008,5.411140583554377,6.383731211317418,,,6.1184792219274975,57.3474801061008,,
bahia blanca,,3.9276362770768865,,18.39641355232881,7.4585416170753,6.165198762199476,0.5435213837975086,,5.5859715940649055,56.67698167103071,,
berazategui,,4.913816269338554,,15.516910438020654,6.276632500287919,7.804522246535376,0.8215286575300396,,5.316902760182733,58.42834657760375,,
berisso,,5.291479820627803,,15.52850736707239,6.1627162075592565,6.75208199871877,,,4.07431133888533,60.0,,
campana,,3.9725853534712527,,15.319202944536109,5.635232897575834,8.97321995177053,,,5.241781952024368,58.21804797563143,,
chivilcoy,,2.3400936037441498,,19.84746056508927,3.8828219795458483,5.997573236262784,,,8.112324492979718,58.60634425377015,,
comuna 01,,5.430340557275541,,11.504643962848297,4.9411764705882355,3.1455108359133126,,,5.882352941176471,66.96594427244582,,
comuna 02,,1.5861742424242424,,10.661300505050505,4.221906565656566,1.3809974747474747,,,7.5205176767676765,73.50063131313131,,
comuna 03,,3.0685582151115556,,13.161677395162803,7.937003937253921,4.3184800949940625,,,4.70595587775764,64.87094556590213,,
comuna 04,,3.9838401975086972,,15.228369431040287,6.065536976770284,5.61104253170239,0.5667152957019415,,6.076759061833688,61.165974638087754,,
comuna 05,,2.636038410845415,,15.84133559279483,5.793008221929329,3.51471788112722,,,6.816042176614573,63.93648402686249,,
comuna 06,,3.0550907851521347,,17.76662328809568,6.661709115696846,3.8235111854743757,,,7.070707070707071,59.53399020883683,,
comuna 07,,3.65105748839342,,16.392503009113316,6.230297472344816,4.121052329913452,,,6.58565942568923,60.74969908866854,,
comuna 08,,4.003162282593072,,15.552680753198217,5.922092856116142,7.560730199798764,0.7258875952278281,,5.663360643955728,59.05562742561449,,
comuna 09,,3.23721436343852,,21.320729053318825,5.359085963003264,4.835418933623504,,,6.9640914036996735,56.5968443960827,,
comuna 10,,2.9952530587684696,,19.001136591562478,5.021060373069465,5.00100287490807,,,6.40502774620579,59.76465868823962,,
comuna 11,,2.6936609563361595,,18.803714598834862,5.456538040029994,4.1587356520736,,,7.1350291284535965,59.987310376651095,,
comuna 12,,2.928071292170592,,20.13579461065139,5.988754508805432,3.532781667727562,,,6.7897305325694886,58.938043708890305,,
comuna 13,,2.353425033130741,,15.532605218662889,5.917835762920989,3.0754466937805605,,,7.90111045103505,62.86615180733903,,1.3983457478407897
comuna 14,,2.095680622066284,,17.54776919065004,4.447394623299037,1.4224076620359396,,0.5926698591816415,9.942629557631218,63.14067611777536,,
comuna 15,,3.2335473033775273,,17.457555942168096,4.043433919251305,3.419521267022617,,,7.174995500629912,63.231147639330494,,
ensenada,,4.448633364750235,,17.304429783223373,5.90009425070688,6.635249764373233,,,4.580584354382657,59.49104618284637,,
escobar,,4.50142769161861,,11.44392811152791,5.055707967079111,7.345613347516936,0.6830524606684956,,4.249482111863838,65.8081854319467,,
esteban echeverria,,4.671228800952098,,13.843668976070047,5.988863858545501,8.326603476856377,0.5695583797339228,,4.339694818718919,61.2657797424236,,
ezeiza,,4.77364001460387,,10.742971887550201,5.9145673603504925,9.437751004016064,,,4.098211025921869,63.65461847389558,,
florencio varela,,5.4721231462361555,,12.605594143044867,7.00832238282961,9.645829422439146,0.8760402978537013,,4.389587635316939,59.104561666979535,,
general pueyrredon,0.2628961205058974,4.74634077021458,,18.49332101747904,5.266804035810715,6.2828620150632375,0.7229643313912179,,5.737530197527356,57.35753872388802,0.2628961205058974,0.4760551371323007
general rodriguez,,3.865055120201886,,10.77168282640457,5.883915526630362,10.0810200557843,,,4.967459157922699,62.82374817372825,,
general san martin,,3.5949019831971194,,17.76304509344459,4.435046007887066,5.895296336514831,0.47722466708578615,,6.212493570326342,60.730410927587585,,
hurlingham,,4.196627010066676,,17.05451693031769,5.131389724146947,6.25571970192182,,,4.824160020917767,61.04719571185776,,
ituzaingo,,4.334900442477876,,15.880807522123893,5.6415929203539825,5.738384955752212,,,3.9339048672566372,62.838772123893804,,
jose c. paz,,4.783183621357895,,13.756782636450687,5.635857918015595,8.882403903150792,0.6839633395649993,,4.053622725821896,61.21015913547034,,
junin,,2.778130153494862,,21.42585310161106,5.099581377648104,6.317391855892427,,,5.987568184701256,56.907268806292024,,
la costa,,3.774928774928775,,20.3988603988604,5.299145299145299,8.98860398860399,,,4.472934472934473,55.28490028490028,,
la matanza,0.15107560268043338,4.058650700230785,0.209466786538515,13.86929643257672,5.252426014662675,8.202571065778132,0.6904989202265207,,5.467453866330531,61.4961118886304,0.4124456637594654,0.11400183515149269
la plata,,3.8676399721572756,,16.976922665048455,6.74293669349801,4.6957825411840295,0.4622606150386407,0.18026379196487533,4.859983222973817,60.9006050438166,0.43905834478573597,0.5193738956611754
lanus,,4.050990074066609,,19.579785357988612,4.980601602257268,6.522396331939336,0.5189701214289313,,5.517206630725046,58.05663324431904,,
lomas de zamora,,4.358469276520874,,16.049264663695997,5.247757654573619,7.3858746581498975,0.7630668018130008,,5.188471762703436,60.10824456386621,0.2390560156055767,0.22184398248197518
lujan,,3.127469797899966,,17.985773964096197,6.480749689511121,4.911369538218358,,,5.7694478943208765,59.805803319408376,,
malvinas argentinas,,5.031805888850798,,14.040300156172627,5.679350931322134,8.48284005637451,0.5865996267093284,,3.991924732411534,61.26918828324382,0.39614520245305296,
marcos paz,,3.877737226277372,,15.328467153284672,6.9571167883211675,10.92609489051095,,,4.721715328467154,56.386861313868614,,
mercedes,,3.9153831879755057,,20.003711263685286,5.715346075338653,5.845240304323622,,,5.900909259602895,57.37613657450362,,
merlo,,4.307826044961727,,14.140487286600825,5.819428681814889,9.045468814140488,0.8137541351749451,,4.247458527515515,60.710404945307026,0.36461980537512373,
moreno,,4.799886056117362,,12.570858852015382,6.070360347528842,9.53425437971799,0.9314912405640222,,4.304230166642928,60.888762284574845,0.30479988605611735,
moron,,4.077836600372013,,19.244527114036345,5.122335098011161,5.962941765631707,0.4042066103877522,,5.773358134210903,58.29517813707254,,0.44355415653169267
necochea,,3.430079155672823,,20.208683137443032,5.097145598464859,6.440393379707364,,,5.864715759174862,56.920124730151116,,
olavarria,,3.076274757690687,,21.0598398651496,5.899705014749262,6.321112515802781,,,6.163084702907712,56.01559207753898,,
pergamino,,3.9279319606087735,,20.51253357206804,4.778424350940018,6.412264995523724,,,6.031781557743957,56.7591763652641,,
pilar,,3.9281566285050604,,10.444665671146508,5.4380288700846195,8.909905425584869,0.7051601128256181,,4.326364692218351,64.92035838725734,0.543388086942094,
presidente peron,,5.074352291890235,,13.429403648627932,5.059021922428331,8.692319484899587,,,4.062547907404569,62.3639429710256,,
quilmes,,4.356235808594736,,16.95189639222942,5.6786645362038515,7.318560255655537,0.7884114035825415,,5.996131528046422,57.83786056681524,0.2543940795559667,0.31746699184257
san fernando,,4.692728932156982,,16.055673866747796,5.597809552783693,5.552175235777304,,,5.164283541223,61.34012777608762,,
san isidro,,3.493908416188209,,16.2722307800028,5.871026466881389,5.366895392802128,0.8297157260887831,,5.422909956588713,60.77930261868086,0.45511833076599917,0.8297157260887831
san miguel,,4.211465726063491,,14.725256045216948,5.749861884322808,7.645233946708597,0.4377204538693638,,4.14772002889805,62.173303302027115,,
san nicolas,,4.237082558421606,,18.460418856634593,7.018678741812889,8.36096062100752,1.0673566750222365,,4.754588825099054,55.43785881782162,,
san pedro,,4.59958932238193,,19.117043121149898,5.256673511293634,7.6796714579055445,,,6.591375770020534,54.209445585215605,,
san vicente,,4.113578449217328,,15.198398252639242,6.443392792136876,9.956315981070258,,,4.040771751001092,57.99053512923189,,
tandil,,3.183764662074102,,17.119716998696706,5.976540681437348,5.7251908396946565,,,6.116179482405511,60.19363247067585,,
tigre,,4.20337440265271,,13.53662104612984,5.0778583271025,7.6818048828061505,0.7249439224992685,,4.414680927148012,63.37570300055265,,
tres arroyos,,3.1696341224809235,,20.68088436705146,5.047935824691841,6.495793386812757,,,6.98493445509685,55.62512228526707,,
tres de febrero,,3.5665156852877034,,19.10753229323939,4.656936755577923,6.025834591511491,0.5200469719845664,,7.273947324274451,57.809092434155346,,
vicente lopez,,2.788520252391614,,18.119275391817627,5.157744758803175,4.254019947079177,0.7815998371667006,,6.566252798697334,60.61876653775697,,0.8874414817830246
zarate,,3.601137201221438,,18.66905338527956,5.254290828682742,9.22396546277772,,,5.043698009897862,56.344108665894495,,
