,Ingresos segun EPH,Ingresos segun EPH,Ingresos segun EPH,Ingresos segun EPH,Ingresos segun EPH,Ingresos segun EPH,Ingresos segun EPH,Ingresos segun EPH
,count,mean,std,min,25%,50%,75%,max
dpto_merge,,,,,,,,
marcos paz,43840,11280.311860681857,10913.521466369144,-14.490753251194002,5323.01579020365,9623.482463040702,14730.019873191499,207457.92627844
florencio varela,319620,10937.72024105596,8790.211028179236,-15.536418842742002,5846.481342773701,9777.3237620936,14434.772349794,180206.77048942
san pedro,48700,11869.350257941096,10624.828042384272,-13.7552747793864,5893.726180488199,10096.630715280398,15844.331691732,178932.74170118
Resto 1a Seccion,46140,11691.599137461337,10069.905946560291,-14.387417007360002,6176.71472342,10171.7790843518,15044.63673413,165904.12442196
presidente peron,65230,11450.564052563224,8953.94263977907,-12.879545624947601,6248.102521373,10342.2301980328,14707.837576888,142171.05671307998
moreno,351050,12278.907806740954,11826.405647600604,-15.835922796223999,6210.199471561,10349.1585866166,15591.749581238002,263942.02663305996
jose c. paz,219310,12092.619273413417,11166.973425411998,-11.7446972512382,6598.6814914489005,10539.7725314814,15131.967359782,280528.2285668
Resto 7a Seccion,115590,12160.663534214646,9916.240777075363,-16.224873395032,6096.7684061565005,10547.5961076896,16154.971939692,172802.94109538
general rodriguez,75290,12631.3097400171,11743.253773647959,-1.1906832298134,6092.262055972601,10663.1516273906,16414.538831386,182763.10684908
ezeiza,109560,12461.31749099623,11195.657755020073,-11.7446972512382,6484.919409517799,10666.646802639,15829.2009766945,213354.91303068
Resto 2a Seccion,213470,12417.101310734386,11076.749547683039,-16.224873395032,6332.076321922201,10675.303930335,15895.181671064001,205666.80949286
ensenada,53050,12177.96246064464,9769.590628175029,-14.366408972282,6286.1334679864,10688.199336447202,16192.344067834,118887.139867416
merlo,414130,12121.366999818021,10183.446724148009,-15.536418842742002,6591.640493009801,10694.084649234599,15588.287066586,280017.75801796
Resto 3a Seccion,139840,12526.309384423465,11022.121752169745,-15.536863977951999,6159.06706349805,10710.781012372801,16358.837208769997,149447.49238048
zarate,94970,12424.329649802881,10722.993567141684,-14.0615806122322,6248.4553337778,10727.556063192202,16592.966000932003,196748.52724676
la matanza,1078930,12027.496462062458,9541.534099334074,-15.835922796223999,6621.319545627399,10754.846246274,15663.626608453998,397747.87547436
pilar,241080,13865.196068399326,15306.383544316079,-14.490753251194002,6604.6883844943,10808.5625215352,16533.386033136,295336.11534724
Resto 5a Seccion,389050,12587.7461933409,11282.150926571083,-15.536863977951999,6207.3732514398,10820.1777132142,16708.49349033,240428.72431822002
lomas de zamora,522890,12484.543572465403,10962.568093265934,-15.628643830674001,6737.051963078,10872.618445544002,16021.514206996002,397747.87547436
campana,78790,13060.47514644802,11698.951227498768,-14.0615806122322,6268.110075358,10941.254680145601,17319.121369758002,167495.90256887997
esteban echeverria,235270,12984.162462557566,12321.316135244979,-14.490753251194002,6606.17751057,10961.3176646684,16312.041855264002,278007.92599508003
malvinas argentinas,262530,12934.17162094612,12121.876842919402,-12.879545624947601,6921.0160608932,10969.854466222,15957.89473041,235974.0817431
comuna 08,139140,12126.453060797496,9085.045225444983,-14.824816792352001,6530.359627289,10999.2190022728,16107.479445563999,167895.52892592
Resto 4a Seccion,337470,12669.642253625507,10998.03234854184,-14.0615806122322,6344.577687094001,11001.1516122618,16877.636132159998,228501.89836712
san vicente,54940,12515.708538352608,10879.515115788097,-4.1046140889252,5940.6514485729995,11046.4615347664,16660.5954398,175000.7441514
almirante brown,443100,12977.48828230968,12010.452035738308,-15.536418842742002,6930.505868779199,11060.318560135798,16243.116141706,273887.56003794
chivilcoy,57690,12827.881059842352,10706.1476165485,-12.895482691422602,6957.657394896,11060.540424471601,16693.737258012,177057.54146302002
berisso,78050,12481.636240534726,10251.630679241702,-14.745631897442001,6342.7925682591995,11074.177671187,16647.04453387,153425.88554339999
tigre,307610,14056.263235266395,15190.14376577959,-15.489003466684002,6844.8035521998,11081.8772028408,16985.771924306002,380395.94327631994
pergamino,89360,12887.2984971576,11593.028364855796,-14.0615806122322,7183.100526819199,11096.555786207602,16718.92389727,228501.89836712
berazategui,260490,12536.631340788304,10132.626979758672,-15.680821395837999,6494.6757631472,11188.304963152399,16794.161423640002,181564.94360564
escobar,178610,14081.061060534612,14546.597639073174,-0.7976470567125,6888.113021205,11194.538618383398,16857.135918334,259002.83284435997
azul,56550,13095.802165060677,11866.293054157815,-14.0615806122322,6141.319118525601,11210.237858430399,17373.398053472,174395.918908
Resto 6a Seccion,326310,12728.051843025363,10264.732862376903,-16.224873395032,6712.6212274429,11257.812051761399,16919.166314029,211599.65974806
san nicolas,123670,13211.444172718106,11139.107885945969,-12.895482691422602,6818.6773381906005,11378.3349238014,17531.305297036,242853.03585128
necochea,83380,13043.520472094904,10156.213310959178,-12.918957070867199,6659.9475538472,11454.7831918998,17628.7647301835,178932.74170118
quilmes,475640,13067.404596737444,11240.90471723355,-15.489003466684002,6928.054803747501,11458.871929349201,16873.560004232502,299094.12372632
junin,78830,13239.560160400863,10421.567286174914,-14.0615806122322,7127.1317402202,11496.972065604601,17305.333821822,159092.30311134
mercedes,53890,14520.42894242937,15108.340891422295,-14.264853836010001,7228.5963764558,11526.537800291002,18038.44880462,242572.27739604
tandil,107420,13739.19335009903,12545.428874041427,-14.264853836010001,6524.0192154995,11591.2209302768,17962.6486832315,247859.54754448004
tres arroyos,51110,12984.924129095632,10057.353631037839,-14.264853836010001,6626.453614216601,11623.791528795,17218.612171974,126749.06483999801
olavarria,94920,13623.311670673313,11683.227391478242,-12.7762469152352,7002.312893910849,11637.829544027401,17603.19377499,200413.81405766
san miguel,235310,14381.368448332052,15384.532827557035,-15.680821395837999,7231.196829285999,11795.317140458397,17383.57742983,690395.6023358399
lanus,396940,13169.930661426713,9973.44143274726,-14.490753251194002,7459.10610004855,11824.777848153399,16961.244584871,254293.86425064004
bahia blanca,252060,14093.183119755331,12923.460579986611,-14.745631897442001,6675.9151711181,11843.5780432334,18659.232322976,242110.70852178
san fernando,131480,13744.700457050525,12235.639008313483,-12.7711301564176,7299.19298258245,11866.6642396707,17635.470143388004,289494.51091954
avellaneda,300160,13349.642558920617,11376.248376854486,-12.9599392198958,7379.755932428399,11890.7828421664,17219.651596283,397747.87547436
la costa,70200,13523.597155323807,11808.974354964965,-12.388653517935401,7105.295214399501,11972.611437540201,17548.112304714,183131.23012272
la plata,560290,15183.302815854617,15203.57098682602,-16.60522934231,7084.7583807828005,12062.5626001758,19188.352165058,246392.53333816
general san martin,349940,13799.249673074539,12149.376242130813,-15.489003466684002,7618.624621883199,12121.376839503797,17624.852379518,397747.87547436
lujan,88570,15401.933013431302,15627.265351729235,-14.0615806122322,7265.9097584878,12401.140092089,18592.525237014,186277.3664871
hurlingham,152980,14961.529374130456,14350.391760298942,-15.536418842742002,8062.001694482601,12438.202692962,18081.096690428,263866.72156652
tres de febrero,298050,14036.92162816123,11478.520457770135,-15.680821395837999,7810.7378638364,12558.9012768102,18033.61028739,277080.46763244004
comuna 04,178220,14608.256893034164,12164.695555484239,-14.824816792352001,7713.466209153001,12693.807475678199,18982.088522086,243162.05795528
ituzaingo,144640,16497.979687324474,16803.966584114343,-15.680821395837999,8308.5297613566,12832.118441902,19367.92804616,268164.11001884
moron,279560,14904.944205129052,12800.310681127587,-15.680821395837999,8173.943697512601,12953.1353196519,18751.608648401998,283936.04230682
general pueyrredon,562960,15127.736890633096,14376.254365157356,-15.489003466684002,7674.702395271399,12996.0585006682,19216.150796762,294443.53873505996
comuna 09,147040,14824.336016448717,11496.693736114958,-15.05974834431,8474.8224882638,13278.6389215136,18906.05292973,208449.83463832
comuna 07,174470,17312.150354693746,19976.36952025314,-14.824816792352001,8946.2489796902,13685.779156624201,20958.282283465,311599.25763491995
san isidro,285640,18138.024320287186,22123.040894119218,-15.680821395837999,8205.7081901894,13889.715050460098,21454.4340337205,393549.36401616
comuna 10,149570,16512.366427830413,14452.38939139495,-14.0671755778752,8983.726048516,13963.3043078186,20815.102794473998,265619.30666346
comuna 15,166690,17119.43521257673,14700.678261243582,-14.824816792352001,9421.2858427432,14155.3888717074,21300.336958474,295150.97381888004
comuna 12,188520,17788.487212652166,16971.50417844041,-15.05974834431,9386.845966434801,14444.052389884,22047.857281366003,368192.42019778
comuna 11,173370,17548.423766788863,17185.08001651617,-14.824816792352001,9308.814253539,14450.416306898,21915.997382086,325497.72523004
comuna 03,160010,17845.17710897502,17893.096801829754,-14.824816792352001,8821.5793147504,14798.623738318,22020.157026978,302677.36112388
comuna 05,159330,18598.070463473086,19415.394874772475,-14.824816792352001,9624.9694761564,14805.818275244,22788.640460691997,293714.73411384
vicente lopez,245650,18158.300492823368,17689.091478135917,-14.869512297144002,9059.3716999686,14879.108135862001,22372.189045501997,363537.76021974
comuna 06,161370,20130.33005334521,25478.282064905034,-15.05974834431,9421.2858427432,14979.07874142,24397.643621968,408885.37242114
comuna 13,218830,24611.214316738653,37557.57608734724,-14.824816792352001,10579.7746859771,16398.583471122,27136.066736124,404686.86096435995
comuna 14,210910,24584.78078371183,32123.172147597877,-15.05974834431,11063.472300189798,16558.24206842,27941.894143640002,408885.37242114
comuna 01,161500,21332.100267396152,25383.490073346875,-0.2275527950311,10154.240945881,16716.205566988003,25506.973246152,291383.78246451996
comuna 02,126720,26433.11451339706,27671.59995333684,-0.06464715889512,13104.6882759816,22459.889305247998,31832.203484224,291383.78246451996
